code,path,label,lastUpdate,lastModified,dataStart,dataEnd,count
env_ac_mfa,Environment and energy > Database by themes,Material flow accounts,2025-07-04,2025-06-30,1990,2024,799561
env_ac_mfadpo,Environment and energy > Database by themes,Material flow accounts - domestic processed output,2025-07-04,2025-06-30,1990,2024,60435
env_ac_mfabi,Environment and energy > Database by themes,Material flow accounts - balancing items,2025-07-04,2025-06-30,1990,2024,23009
env_ac_mfain,Environment and energy > Database by themes,Material flow accounts - main indicators,2025-07-04,2025-06-30,1990,2024,23881
env_ac_rp,Environment and energy > Database by themes,Resource productivity,2025-07-04,2025-06-30,2000,2024,3347
env_ac_mid,Environment and energy > Database by themes,Material import dependency,2025-07-04,2025-06-30,1990,2024,4885
env_ac_cur,Environment and energy > Database by themes,Circular material use rate,2025-11-24,2025-11-18,2004,2024,426
env_ac_curm,Environment and energy > Database by themes,Circular material use rate by material type,2025-11-24,2025-11-18,2004,2024,81
env_ac_sd,Environment and energy > Database by themes,Material flows for circular economy - Sankey diagram data,2025-11-25,2025-11-25,2010,2024,45060
env_trdrrm,Environment and energy > Database by themes,Trade in recyclable raw materials by partner,2025-04-23,2025-04-23,2004,2024,1295030
env_ac_pefasu,Environment and energy > Database by themes,Energy supply and use by NACE Rev. 2 activity,2025-12-15,2025-12-15,2000,2024,4480776
env_ac_pefa04,Environment and energy > Database by themes,Key indicators of physical energy flow accounts by NACE Rev. 2 activity,2025-12-15,2025-12-15,2000,2024,271677
env_ac_pefa05,Environment and energy > Database by themes,Physical energy flow accounts totals bridging to energy balances totals,2025-12-15,2025-12-15,2000,2024,4858
env_ac_tax,Environment and energy > Database by themes,Environmental tax revenues,2026-02-10,2026-02-10,1995,2024,18592
env_ac_taxener,Environment and energy > Database by themes,Energy taxes by paying sector,2025-10-16,2025-07-07,1995,2022,4464
env_ac_taxind2,Environment and energy > Database by themes,Environmental taxes by economic activity (NACE Rev. 2),2026-01-04,2025-08-26,1995,2023,569054
env_egss_emp,Environment and energy > Database by themes,Employment in the environmental goods and service sector,2026-03-20,2026-03-20,2008,2024,684693
env_egss_mon,Environment and energy > Database by themes,"Production, value added and exports in the environmental goods and service sector",2026-03-20,2026-03-20,2008,2024,4540750
env_ac_ccminv,Environment and energy > Database by themes,Investments in climate change mitigation by NACE Rev. 2 activity,2025-12-10,2025-11-17,2005,2023,18713
env_bio2,Environment and energy > Database by themes,Common farmland bird index,2026-02-24,2026-02-24,1990,2024,643
env_bio3,Environment and energy > Database by themes,Common bird indices by type of estimate,2026-02-16,2026-02-16,1990,2024,1260
env_bio4,Environment and energy > Database by themes,Protected areas,2025-11-19,2025-10-27,2011,2023,1004
env_bio5,Environment and energy > Database by themes,Proportion of fish stocks sustainably exploited,2025-05-08,2025-05-08,2003,2023,183
env_ac_ghgfp,Environment and energy > Database by themes,"Greenhouse gas emission footprints (in CO2 equivalent, FIGARO application)",2026-01-22,2025-10-30,2010,2023,15939672
env_ac_co2fp,Environment and energy > Database by themes,Carbon dioxide emission footprints (FIGARO application),2026-01-22,2025-10-30,2010,2023,15939672
env_ac_ch4fp,Environment and energy > Database by themes,"Methane emission footprints (CH4 in CO2 equivalent, FIGARO application)",2026-01-22,2025-10-30,2010,2023,15939672
env_ac_n2ofp,Environment and energy > Database by themes,"Nitrous oxide emission footprints (N2O in CO2 equivalent, FIGARO application)",2026-01-22,2025-10-30,2010,2023,15939672
env_ac_hfcfp,Environment and energy > Database by themes,"Hydrofluorocarbon emission footprints (HFC in CO2 equivalent, FIGARO application)",2026-01-22,2025-10-30,2010,2023,15939672
env_ac_pfcfp,Environment and energy > Database by themes,"Perfluorocarbon emission footprints (PFC in CO2 equivalent, FIGARO application)",2026-01-22,2025-10-30,2010,2023,15939672
env_ac_nf3sf6fp,Environment and energy > Database by themes,"Nitrogen trifluoride and sulphur hexafluoride emission footprints (NF3-SF6 in CO2 equivalent, FIGARO application)",2026-01-22,2025-10-30,2010,2023,15939672
env_ac_io10,Environment and energy > Database by themes,Air emission footprints (domestic technology assumption),2024-07-05,2024-07-09,2010,2021,1013040
env_ac_rme,Environment and energy > Database by themes,Material footprints - main indicators,2025-11-27,2025-07-18,2000,2024,26106
env_ac_rmefd,Environment and energy > Database by themes,Material footprints - details by final use of products,2025-11-27,2025-07-18,2010,2024,735242
env_ac_landfp,Environment and energy > Database by themes,Land use footprints,2025-07-02,2025-07-02,2014,2022,135
env_landfp_dom,Environment and energy > Database by themes,Domestic land use in the EU by product,2025-07-01,2025-07-01,2014,2022,50670
env_landfp_imp,Environment and energy > Database by themes,Land use embodied in imports into the EU by product (HS 2022),2025-07-01,2025-07-01,2014,2022,1584443
env_landfp_exp,Environment and energy > Database by themes,Land use embodied in EU exports by product (HS 2022),2025-07-01,2025-07-01,2014,2022,10900
env_ac_pefafp,Environment and energy > Database by themes,Energy footprints (domestic technology assumption),2026-03-13,2026-03-13,2014,2023,80400
nrg_chdd_a,Environment and energy > Database by themes,Cooling and heating degree days by country - annual data,2025-03-28,2025-03-28,1979,2024,2668
nrg_chdd_m,Environment and energy > Database by themes,Cooling and heating degree days by country - monthly data,2025-03-28,2025-03-28,1979-01,2024-12,32016
nrg_chddr2_a,Environment and energy > Database by themes,Cooling and heating degree days by NUTS 3 region - annual data,2025-03-28,2025-03-28,1979,2024,140705
nrg_chddr2_m,Environment and energy > Database by themes,Cooling and heating degree days by NUTS 3 region - monthly data,2025-03-28,2025-03-28,1979-01,2024-12,1688389
isoc_e_diin2,"Science, technology, digital society > Database by themes",Digital Intensity by NACE Rev. 2 activity,2026-02-27,2025-12-11,2015,2025,66401
isoc_e_dii,"Science, technology, digital society > Database by themes",Digital Intensity by size class of enterprise,2026-02-27,2025-12-11,2015,2025,9494
isoc_e_cvdn2,"Science, technology, digital society > Database by themes",Covid-19 Impact on ICT usage by NACE Rev. 2 activity,2025-12-11,2025-12-11,2021,2021,43746
isoc_e_cvd,"Science, technology, digital society > Database by themes",Covid-19 Impact on ICT usage by size class of enterprise,2024-12-12,2023-05-25,2021,2021,5739
isoc_e_envn2,"Science, technology, digital society > Database by themes",ICT and environment by NACE Rev. 2 activity,2026-02-27,2025-12-11,2022,2025,19907
isoc_e_envs,"Science, technology, digital society > Database by themes",ICT and environment by size class of enterprise,2026-02-27,2025-12-11,2022,2025,2504
isoc_bde15ag,"Science, technology, digital society > Database by themes",Percentage of the ICT sector in Gross value added,2025-12-12,2025-12-12,2008,2023,1225
isoc_bde15ap,"Science, technology, digital society > Database by themes",Percentage of the ICT sector personnel in total employment,2025-12-12,2025-12-12,2008,2023,1200
isoc_bde15av,"Science, technology, digital society > Database by themes",Percentage change of value added by ICT sector at current prices,2025-12-12,2025-12-12,2009,2023,1060
